id,type,param,icon,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100101,1,11011_2500;11012_2500;11013_5000,ui/stage/deng1.png,1遇敌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100102,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100103,8,50,ui/stage/deng1.png,8获得积分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100104,11,1000,ui/stage/deng1.png,11减少体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100105,12,1000,ui/stage/deng1.png,12减少hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100201,1,11021_2500;11022_2500;11023_5000,ui/stage/deng1.png,1遇敌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100202,4,101_2500;102_2500;103_2500;104_2500,ui/stage/deng1.png,4随机buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100203,13,100101_2000;100102_2000;100103_2000;100104_2000;100105_2000,ui/stage/deng1.png,13随机事件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100204,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100205,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100301,1,11031_2500;11032_2500;11033_5000,ui/stage/deng1.png,1遇敌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100302,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100303,8,50,ui/stage/deng1.png,8获得积分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100304,11,1000,ui/stage/deng1.png,11减少体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100305,13,100101_2000;100102_2000;100103_2000;100104_2000;100105_2000,ui/stage/deng1.png,13随机事件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100401,1,11041_2500;11042_2500;11043_5000,ui/stage/deng1.png,1遇敌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100402,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100403,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100404,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100405,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100501,3,11051_3000;11052_4000;11053_3000,ui/stage/deng1.png,3遭遇宝箱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100502,5,1500,ui/stage/deng1.png,5回复HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100503,11,1000,ui/stage/deng1.png,11减少体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100504,12,1000,ui/stage/deng1.png,12减少hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100505,13,100101_2000;100102_2000;100103_2000;100104_2000;100105_2000,ui/stage/deng1.png,13随机事件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100601,4,101_2500;102_2500;103_2500;104_2500,ui/stage/deng1.png,4随机buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100602,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100603,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100604,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100605,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100701,1,11071_2500;11072_2500;11073_5000,ui/stage/deng1.png,1遇敌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100702,4,101_2500;102_2500;103_2500;104_2500,ui/stage/deng1.png,4随机buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100703,13,100101_2000;100102_2000;100103_2000;100104_2000;100105_2000,ui/stage/deng1.png,13随机事件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100704,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100705,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100801,3,11081_3000;11082_4000;11083_3000,ui/stage/deng1.png,3遭遇宝箱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100802,4,101_2500;102_2500;103_2500;104_2500,ui/stage/deng1.png,4随机buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100803,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100804,8,50,ui/stage/deng1.png,8获得积分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100805,12,1000,ui/stage/deng1.png,12减少hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100901,2,1001_5000;1002_5000,ui/stage/deng1.png,2神秘驿站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100902,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100903,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100904,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100905,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001,1,11101_2500;11102_2500;11103_5000,ui/stage/deng1.png,1遇敌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101002,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101003,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101004,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101005,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101101,7,4,ui/stage/deng1.png,7跃层,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101102,9,3,ui/stage/deng1.png,9分岔路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101103,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101104,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101105,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101201,5,1500,ui/stage/deng1.png,5回复HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101202,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101203,8,100,ui/stage/deng1.png,8获得积分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101204,10,80,ui/stage/deng1.png,10减少积分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101205,11,1000,ui/stage/deng1.png,11减少体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101301,2,1001_5000;1003_5000,ui/stage/deng1.png,2神秘驿站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101302,8,100,ui/stage/deng1.png,8获得积分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101303,10,80,ui/stage/deng1.png,10减少积分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101304,11,1000,ui/stage/deng1.png,11减少体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101305,12,1000,ui/stage/deng1.png,12减少hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101401,1,11141_2500;11142_2500;11143_5000,ui/stage/deng1.png,1遇敌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101402,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101403,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101404,6,2000,ui/stage/deng1.png,6回复体力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
