giftid,name,gifttype,packageID1,packageID2,packageID3,packageID4,packageID5,packageID6,packageID7,packageID8,packageID9,packageID10,awardcontentshopID1,awardcontentshopID2,awardcontentshopID3,awardcontentshopID4,awardcontentshopID5,awardcontentshopID6,awardcontentshopID7,awardcontentshopID8,awardcontentshopID9,awardcontentshopID10,awardcontentshopID11,awardcontentshopID12,awardcontentshopID13,awardcontentshopID14,awardcontentshopID15,awardcontentshopID16,awardcontentshopID17,awardcontentshopID18,awardcontentshopID19,awardcontentshopID20
9101,VIP1尊享礼包,1,0,0,0,0,0,0,0,0,0,0,910101,,,,,,,,,,,,,,,,,,,
9102,VIP2尊享礼包,1,0,0,0,0,0,0,0,0,0,0,910201,,,,,,,,,,,,,,,,,,,
9103,VIP3尊享礼包,1,0,0,0,0,0,0,0,0,0,0,910301,,,,,,,,,,,,,,,,,,,
9104,VIP4尊享礼包,1,0,0,0,0,0,0,0,0,0,0,910401,,,,,,,,,,,,,,,,,,,
9105,VIP5尊享礼包,1,0,0,0,0,0,0,0,0,0,0,910501,,,,,,,,,,,,,,,,,,,
9106,VIP6尊享礼包,1,0,0,0,0,0,0,0,0,0,0,910601,,,,,,,,,,,,,,,,,,,
9107,VIP7尊享礼包,1,0,0,0,0,0,0,0,0,0,0,910701,,,,,,,,,,,,,,,,,,,
9108,VIP8尊享礼包,1,0,0,0,0,0,0,0,0,0,0,910801,,,,,,,,,,,,,,,,,,,
9109,VIP9尊享礼包,1,0,0,0,0,0,0,0,0,0,0,910901,,,,,,,,,,,,,,,,,,,
9110,VIP10尊享礼包,1,0,0,0,0,0,0,0,0,0,0,911001,,,,,,,,,,,,,,,,,,,
9111,VIP11尊享礼包,1,0,0,0,0,0,0,0,0,0,0,911101,,,,,,,,,,,,,,,,,,,
9112,VIP12尊享礼包,1,0,0,0,0,0,0,0,0,0,0,911201,,,,,,,,,,,,,,,,,,,
9113,VIP13尊享礼包,1,0,0,0,0,0,0,0,0,0,0,911301,,,,,,,,,,,,,,,,,,,
9114,VIP14尊享礼包,1,0,0,0,0,0,0,0,0,0,0,911401,,,,,,,,,,,,,,,,,,,
9115,VIP15尊享礼包,1,0,0,0,0,0,0,0,0,0,0,911501,,,,,,,,,,,,,,,,,,,
9201,初出茅庐礼包,1,0,0,0,0,0,0,0,0,0,0,920101,,,,,,,,,,,,,,,,,,,
9202,声名鹊起礼包,1,0,0,0,0,0,0,0,0,0,0,920201,,,,,,,,,,,,,,,,,,,
9203,名声大噪礼包,1,0,0,0,0,0,0,0,0,0,0,920301,,,,,,,,,,,,,,,,,,,
9204,绝世名伶礼包,1,0,0,0,0,0,0,0,0,0,0,920401,,,,,,,,,,,,,,,,,,,
9301,初露头角战力礼包,1,0,0,0,0,0,0,0,0,0,0,930101,,,,,,,,,,,,,,,,,,,
9302,无坚不摧战力礼包,1,0,0,0,0,0,0,0,0,0,0,930201,,,,,,,,,,,,,,,,,,,
9303,所向无敌战力礼包,1,0,0,0,0,0,0,0,0,0,0,930301,,,,,,,,,,,,,,,,,,,
9401,每日玉器优惠礼包,2,9403,0,0,0,0,0,0,0,0,0,940101,,,,,,,,,,,,,,,,,,,
9402,优秀后勤礼包,1,0,0,0,0,0,0,0,0,0,0,940201,,,,,,,,,,,,,,,,,,,
9501,期待周五大礼包,1,0,0,0,0,0,0,0,0,0,0,950101,,,,,,,,,,,,,,,,,,,
9502,幸福周六大礼包,1,0,0,0,0,0,0,0,0,0,0,950201,,,,,,,,,,,,,,,,,,,
9503,纳宗宗主礼包,1,0,0,0,0,0,0,0,0,0,0,950301,,,,,,,,,,,,,,,,,,,
9403,随机4级玉器包,1,0,0,0,0,0,0,0,0,0,0,940301,,,,,,,,,,,,,,,,,,,
